Sensitive Proxy Flag,Structural Feature,Spearman Rank Corr,Pearson Linear Corr,Absolute Magnitude,Ethical Risk Level
proxy_minor_targeted_4_plus,size_in_mb,-0.3721,-0.3085,0.3721,High (|r| >= 0.30)
proxy_minor_targeted_4_plus,is_synchronous_multiplayer,-0.3026,-0.3026,0.3026,High (|r| >= 0.30)
proxy_minor_targeted_4_plus,supported_languages_count,-0.1118,-0.0869,0.1118,Low (|r| < 0.15)
proxy_minor_targeted_4_plus,days_since_last_update,0.1634,0.1337,0.1634,Moderate (0.15 <= |r| < 0.30)
proxy_minor_targeted_4_plus,target,-0.3428,-0.3428,0.3428,High (|r| >= 0.30)
proxy_family_youth_under_12,size_in_mb,-0.2696,-0.2503,0.2696,Moderate (0.15 <= |r| < 0.30)
proxy_family_youth_under_12,is_synchronous_multiplayer,-0.1981,-0.1981,0.1981,Moderate (0.15 <= |r| < 0.30)
proxy_family_youth_under_12,supported_languages_count,-0.0834,-0.0624,0.0834,Low (|r| < 0.15)
proxy_family_youth_under_12,days_since_last_update,0.1478,0.1296,0.1478,Low (|r| < 0.15)
proxy_family_youth_under_12,target,-0.2194,-0.2194,0.2194,Moderate (0.15 <= |r| < 0.30)
proxy_mature_17_plus,size_in_mb,0.1187,0.0841,0.1187,Low (|r| < 0.15)
proxy_mature_17_plus,is_synchronous_multiplayer,0.0134,0.0134,0.0134,Low (|r| < 0.15)
proxy_mature_17_plus,supported_languages_count,-0.012,-0.0009,0.012,Low (|r| < 0.15)
proxy_mature_17_plus,days_since_last_update,-0.0689,-0.0679,0.0689,Low (|r| < 0.15)
proxy_mature_17_plus,target,0.008,0.008,0.008,Low (|r| < 0.15)
